"","species_code","t","mass_rem"
"118","DD",0.23013698630137,3000
"119","DD",0.23013698630137,3160
"120","DD",0.23013698630137,2930
"121","DD",0.46027397260274,3310
"122","DD",0.46027397260274,3130
"123","DD",0.46027397260274,2900
"124","DD",0.69041095890411,2150
"125","DD",0.69041095890411,1840
"126","DD",0.69041095890411,2290
"127","E",0,3870
"128","E",0,3870
"129","E",0,3870
"130","E",0.0383561643835616,3130
"131","E",0.0383561643835616,3320
"132","E",0.0383561643835616,3290
"133","E",0.0767123287671233,3180
"134","E",0.0767123287671233,3320
"135","E",0.0767123287671233,3180
"136","E",0.115068493150685,3000
"137","E",0.115068493150685,3140
"138","E",0.115068493150685,3030
"139","E",0.23013698630137,2910
"140","E",0.23013698630137,3090
"141","E",0.23013698630137,2670
"142","E",0.46027397260274,1980
"143","E",0.46027397260274,2060
"144","E",0.46027397260274,1850
"145","E",0.69041095890411,890
"146","E",0.69041095890411,740
"147","E",0.69041095890411,1110
"148","FF",0,3870
"149","FF",0,3870
"150","FF",0,3870
"151","FF",0.0383561643835616,3300
"152","FF",0.0383561643835616,3580
"153","FF",0.0383561643835616,3170
"154","FF",0.0767123287671233,3300
"155","FF",0.0767123287671233,3220
"156","FF",0.0767123287671233,3100
"157","FF",0.115068493150685,3510
"158","FF",0.115068493150685,3510
"159","FF",0.115068493150685,3070
"160","FF",0.23013698630137,3320
"161","FF",0.23013698630137,3120
"162","FF",0.23013698630137,3210
"163","FF",0.46027397260274,2910
"164","FF",0.46027397260274,2500
"165","FF",0.46027397260274,2690
"166","FF",0.69041095890411,2130
"167","FF",0.69041095890411,1480
"168","FF",0.69041095890411,1570
"169","G",0,3870
"170","G",0,3870
"171","G",0,3870
"172","G",0.0383561643835616,2620
"173","G",0.0383561643835616,2700
"174","G",0.0383561643835616,2640
"175","G",0.0767123287671233,2340
"176","G",0.0767123287671233,2330
"177","G",0.0767123287671233,2500
"178","G",0.115068493150685,2310
"179","G",0.115068493150685,2390
"180","G",0.115068493150685,2550
"181","G",0.23013698630137,1760
"182","G",0.23013698630137,1680
"183","G",0.23013698630137,2200
"184","G",0.46027397260274,1390
"185","G",0.46027397260274,1520
"186","G",0.46027397260274,1010
"187","G",0.69041095890411,430
"188","G",0.69041095890411,500
"189","H",0,3870
"190","H",0,3870
"191","H",0,3870
"192","H",0.0383561643835616,3320
"193","H",0.0383561643835616,3010
"194","H",0.0383561643835616,3200
"195","H",0.0767123287671233,3340
"196","H",0.0767123287671233,3010
"197","H",0.0767123287671233,3220
"198","H",0.115068493150685,3100
"199","H",0.115068493150685,3040
"200","H",0.115068493150685,3150
"201","H",0.23013698630137,2770
"202","H",0.23013698630137,3070
"203","H",0.23013698630137,3180
"204","H",0.46027397260274,2560
"205","H",0.46027397260274,2170
"206","H",0.46027397260274,2390
"207","H",0.69041095890411,1870
"208","H",0.69041095890411,2850
"209","H",0.69041095890411,1390
"210","I",0,3870
"211","I",0,3870
"212","I",0,3870
"213","I",0.0383561643835616,3300
"214","I",0.0383561643835616,3700
"215","I",0.0383561643835616,3290
"216","I",0.0767123287671233,2610
"217","I",0.0767123287671233,3230
"218","I",0.0767123287671233,2480
"219","I",0.115068493150685,3000
"220","I",0.115068493150685,2970
"221","I",0.115068493150685,2950
"222","I",0.23013698630137,2430
"223","I",0.23013698630137,2450
"224","I",0.23013698630137,2390
"225","I",0.46027397260274,1460
"226","I",0.46027397260274,1430
"227","I",0.46027397260274,1380
"228","I",0.69041095890411,810
"229","I",0.69041095890411,740
"230","I",0.69041095890411,550
"231","II",0,3870
"232","II",0,3870
"233","II",0,3870
"234","II",0.0383561643835616,3640
"235","II",0.0383561643835616,3720
"236","II",0.0383561643835616,3570
"237","II",0.0767123287671233,3820
"238","II",0.0767123287671233,3750
"239","II",0.0767123287671233,3690
"240","II",0.115068493150685,3890
"241","II",0.115068493150685,3450
"242","II",0.115068493150685,3770
"243","II",0.23013698630137,3660
"244","II",0.23013698630137,3880
"245","II",0.23013698630137,3980
"246","II",0.46027397260274,3620
"247","II",0.46027397260274,3140
"248","II",0.46027397260274,3750
"249","II",0.69041095890411,2850
"250","II",0.69041095890411,2640
"251","II",0.69041095890411,2860
"252","J",0,3870
"253","J",0,3870
"254","J",0,3870
"255","J",0.0383561643835616,3670
"256","J",0.0383561643835616,3380
"257","J",0.0383561643835616,3570
"258","J",0.0767123287671233,3610
"259","J",0.0767123287671233,3340
"260","J",0.0767123287671233,3720
"261","J",0.115068493150685,3700
"262","J",0.115068493150685,3440
"263","J",0.115068493150685,3930
"264","J",0.23013698630137,3380
"265","J",0.23013698630137,3440
"266","J",0.23013698630137,3340
"267","J",0.46027397260274,2960
"268","J",0.46027397260274,3110
"269","J",0.46027397260274,2790
"270","J",0.69041095890411,2360
"271","J",0.69041095890411,2590
"272","J",0.69041095890411,1770
"273","JJ",0,3870
"274","JJ",0,3870
"275","JJ",0,3870
"276","JJ",0.0383561643835616,3770
"277","JJ",0.0383561643835616,3720
"278","JJ",0.0383561643835616,3560
"279","JJ",0.0767123287671233,3630
"280","JJ",0.0767123287671233,4030
"281","JJ",0.0767123287671233,3750
"282","JJ",0.115068493150685,3690
"283","JJ",0.115068493150685,3840
"284","JJ",0.115068493150685,3960
"285","JJ",0.23013698630137,3710
"286","JJ",0.23013698630137,4030
"287","JJ",0.23013698630137,3930
"288","JJ",0.46027397260274,3140
"289","JJ",0.46027397260274,3340
"290","JJ",0.46027397260274,3610
"291","JJ",0.69041095890411,3000
"292","JJ",0.69041095890411,3170
"293","JJ",0.69041095890411,2770
